source,target,relation,relation_detail,weight,directed,relation_family,provenance
atlas_atlas_medical_health_oncology_immuno_oncology_applications_and_implications,atlas_medical_health_oncology_immuno_oncology,application,application_of,0.82,true,application,atlas taxonomy
atlas_medical_health_oncology_radiation_oncology,atlas_medical_health_oncology,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_medical_health_oncology_radiation_oncology_theoretical_foundations,atlas_medical_health_oncology_radiation_oncology,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_medical_health_oncology_radiation_oncology_methods_and_instruments,atlas_medical_health_oncology_radiation_oncology,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_medical_health_oncology_radiation_oncology_open_questions,atlas_medical_health_oncology_radiation_oncology,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_medical_health_oncology_radiation_oncology_applications_and_implications,atlas_medical_health_oncology_radiation_oncology,application,application_of,0.82,true,application,atlas taxonomy
atlas_medical_health_oncology_precision_oncology,atlas_medical_health_oncology,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_medical_health_oncology_precision_oncology_theoretical_foundations,atlas_medical_health_oncology_precision_oncology,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_medical_health_oncology_precision_oncology_methods_and_instruments,atlas_medical_health_oncology_precision_oncology,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_medical_health_oncology_precision_oncology_open_questions,atlas_medical_health_oncology_precision_oncology,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_medical_health_oncology_precision_oncology_applications_and_implications,atlas_medical_health_oncology_precision_oncology,application,application_of,0.82,true,application,atlas taxonomy
atlas_medical_health_oncology_tumor_biology,atlas_medical_health_oncology_cancer_genomics,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_medical_health_oncology_cancer_genomics,atlas_medical_health_oncology_immuno_oncology,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_medical_health_oncology_immuno_oncology,atlas_medical_health_oncology_radiation_oncology,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_medical_health_oncology_radiation_oncology,atlas_medical_health_oncology_precision_oncology,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_medical_health_regenerative_medicine,atlas_medical_health_domain,structure,part_of,0.96,true,structure,atlas taxonomy
atlas_medical_health_regenerative_medicine_stem_cells,atlas_medical_health_regenerative_medicine,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_medical_health_regenerative_medicine_stem_cells_theoretical_foundations,atlas_medical_health_regenerative_medicine_stem_cells,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_medical_health_regenerative_medicine_stem_cells_methods_and_instruments,atlas_medical_health_regenerative_medicine_stem_cells,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_medical_health_regenerative_medicine_stem_cells_open_questions,atlas_medical_health_regenerative_medicine_stem_cells,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_medical_health_regenerative_medicine_stem_cells_applications_and_implications,atlas_medical_health_regenerative_medicine_stem_cells,application,application_of,0.82,true,application,atlas taxonomy
atlas_medical_health_regenerative_medicine_tissue_engineering,atlas_medical_health_regenerative_medicine,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_medical_health_regenerative_medicine_tissue_engineering_theoretical_foundations,atlas_medical_health_regenerative_medicine_tissue_engineering,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_medical_health_regenerative_medicine_tissue_engineering_methods_and_instruments,atlas_medical_health_regenerative_medicine_tissue_engineering,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_medical_health_regenerative_medicine_tissue_engineering_open_questions,atlas_medical_health_regenerative_medicine_tissue_engineering,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_medical_health_regenerative_medicine_tissue_engineering_applications_and_implication,atlas_medical_health_regenerative_medicine_tissue_engineering,application,application_of,0.82,true,application,atlas taxonomy
atlas_medical_health_regenerative_medicine_organoids,atlas_medical_health_regenerative_medicine,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_medical_health_regenerative_medicine_organoids_theoretical_foundations,atlas_medical_health_regenerative_medicine_organoids,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_medical_health_regenerative_medicine_organoids_methods_and_instruments,atlas_medical_health_regenerative_medicine_organoids,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_medical_health_regenerative_medicine_organoids_open_questions,atlas_medical_health_regenerative_medicine_organoids,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_medical_health_regenerative_medicine_organoids_applications_and_implications,atlas_medical_health_regenerative_medicine_organoids,application,application_of,0.82,true,application,atlas taxonomy
atlas_medical_health_regenerative_medicine_cell_therapy,atlas_medical_health_regenerative_medicine,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_medical_health_regenerative_medicine_cell_therapy_theoretical_foundations,atlas_medical_health_regenerative_medicine_cell_therapy,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_medical_health_regenerative_medicine_cell_therapy_methods_and_instruments,atlas_medical_health_regenerative_medicine_cell_therapy,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_medical_health_regenerative_medicine_cell_therapy_open_questions,atlas_medical_health_regenerative_medicine_cell_therapy,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_medical_health_regenerative_medicine_cell_therapy_applications_and_implications,atlas_medical_health_regenerative_medicine_cell_therapy,application,application_of,0.82,true,application,atlas taxonomy
atlas_medical_health_regenerative_medicine_transplantation,atlas_medical_health_regenerative_medicine,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_medical_health_regenerative_medicine_transplantation_theoretical_foundations,atlas_medical_health_regenerative_medicine_transplantation,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_medical_health_regenerative_medicine_transplantation_methods_and_instruments,atlas_medical_health_regenerative_medicine_transplantation,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_medical_health_regenerative_medicine_transplantation_open_questions,atlas_medical_health_regenerative_medicine_transplantation,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_medical_health_regenerative_medicine_transplantation_applications_and_implications,atlas_medical_health_regenerative_medicine_transplantation,application,application_of,0.82,true,application,atlas taxonomy
atlas_medical_health_regenerative_medicine_stem_cells,atlas_medical_health_regenerative_medicine_tissue_engineering,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_medical_health_regenerative_medicine_tissue_engineering,atlas_medical_health_regenerative_medicine_organoids,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_medical_health_regenerative_medicine_organoids,atlas_medical_health_regenerative_medicine_cell_therapy,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_medical_health_regenerative_medicine_cell_therapy,atlas_medical_health_regenerative_medicine_transplantation,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_medical_health_diagnostics,atlas_medical_health_domain,structure,part_of,0.96,true,structure,atlas taxonomy
atlas_medical_health_diagnostics_biomarkers,atlas_medical_health_diagnostics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_medical_health_diagnostics_biomarkers_theoretical_foundations,atlas_medical_health_diagnostics_biomarkers,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_medical_health_diagnostics_biomarkers_methods_and_instruments,atlas_medical_health_diagnostics_biomarkers,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_medical_health_diagnostics_biomarkers_open_questions,atlas_medical_health_diagnostics_biomarkers,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_medical_health_diagnostics_biomarkers_applications_and_implications,atlas_medical_health_diagnostics_biomarkers,application,application_of,0.82,true,application,atlas taxonomy
medical_imaging,atlas_medical_health_diagnostics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_medical_imaging_theoretical_foundations,medical_imaging,association,formalizes,0.82,true,association,atlas taxonomy
atlas_medical_imaging_methods_and_instruments,medical_imaging,association,method_for,0.82,true,association,atlas taxonomy
atlas_medical_imaging_open_questions,medical_imaging,association,investigates,0.72,true,association,atlas taxonomy
atlas_medical_imaging_applications_and_implications,medical_imaging,application,application_of,0.82,true,application,atlas taxonomy
atlas_medical_health_diagnostics_molecular_diagnostics,atlas_medical_health_diagnostics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_medical_health_diagnostics_molecular_diagnostics_theoretical_foundations,atlas_medical_health_diagnostics_molecular_diagnostics,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_medical_health_diagnostics_molecular_diagnostics_methods_and_instruments,atlas_medical_health_diagnostics_molecular_diagnostics,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_medical_health_diagnostics_molecular_diagnostics_open_questions,atlas_medical_health_diagnostics_molecular_diagnostics,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_medical_health_diagnostics_molecular_diagnostics_applications_and_implications,atlas_medical_health_diagnostics_molecular_diagnostics,application,application_of,0.82,true,application,atlas taxonomy
atlas_medical_health_diagnostics_liquid_biopsy,atlas_medical_health_diagnostics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_medical_health_diagnostics_liquid_biopsy_theoretical_foundations,atlas_medical_health_diagnostics_liquid_biopsy,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_medical_health_diagnostics_liquid_biopsy_methods_and_instruments,atlas_medical_health_diagnostics_liquid_biopsy,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_medical_health_diagnostics_liquid_biopsy_open_questions,atlas_medical_health_diagnostics_liquid_biopsy,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_medical_health_diagnostics_liquid_biopsy_applications_and_implications,atlas_medical_health_diagnostics_liquid_biopsy,application,application_of,0.82,true,application,atlas taxonomy
atlas_medical_health_diagnostics_clinical_decision_support,atlas_medical_health_diagnostics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_medical_health_diagnostics_clinical_decision_support_theoretical_foundations,atlas_medical_health_diagnostics_clinical_decision_support,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_medical_health_diagnostics_clinical_decision_support_methods_and_instruments,atlas_medical_health_diagnostics_clinical_decision_support,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_medical_health_diagnostics_clinical_decision_support_open_questions,atlas_medical_health_diagnostics_clinical_decision_support,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_medical_health_diagnostics_clinical_decision_support_applications_and_implications,atlas_medical_health_diagnostics_clinical_decision_support,application,application_of,0.82,true,application,atlas taxonomy
atlas_medical_health_diagnostics_biomarkers,medical_imaging,interaction,related_to,0.62,false,interaction,atlas taxonomy
medical_imaging,atlas_medical_health_diagnostics_molecular_diagnostics,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_medical_health_diagnostics_molecular_diagnostics,atlas_medical_health_diagnostics_liquid_biopsy,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_medical_health_diagnostics_liquid_biopsy,atlas_medical_health_diagnostics_clinical_decision_support,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_medical_health_therapeutics,atlas_medical_health_domain,structure,part_of,0.96,true,structure,atlas taxonomy
atlas_medical_health_therapeutics_drug_discovery,atlas_medical_health_therapeutics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_medical_health_therapeutics_drug_discovery_theoretical_foundations,atlas_medical_health_therapeutics_drug_discovery,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_medical_health_therapeutics_drug_discovery_methods_and_instruments,atlas_medical_health_therapeutics_drug_discovery,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_medical_health_therapeutics_drug_discovery_open_questions,atlas_medical_health_therapeutics_drug_discovery,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_medical_health_therapeutics_drug_discovery_applications_and_implications,atlas_medical_health_therapeutics_drug_discovery,application,application_of,0.82,true,application,atlas taxonomy
atlas_medical_health_therapeutics_biologics,atlas_medical_health_therapeutics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_medical_health_therapeutics_biologics_theoretical_foundations,atlas_medical_health_therapeutics_biologics,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_medical_health_therapeutics_biologics_methods_and_instruments,atlas_medical_health_therapeutics_biologics,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_medical_health_therapeutics_biologics_open_questions,atlas_medical_health_therapeutics_biologics,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_medical_health_therapeutics_biologics_applications_and_implications,atlas_medical_health_therapeutics_biologics,application,application_of,0.82,true,application,atlas taxonomy
atlas_medical_health_therapeutics_gene_therapy,atlas_medical_health_therapeutics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_medical_health_therapeutics_gene_therapy_theoretical_foundations,atlas_medical_health_therapeutics_gene_therapy,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_medical_health_therapeutics_gene_therapy_methods_and_instruments,atlas_medical_health_therapeutics_gene_therapy,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_medical_health_therapeutics_gene_therapy_open_questions,atlas_medical_health_therapeutics_gene_therapy,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_medical_health_therapeutics_gene_therapy_applications_and_implications,atlas_medical_health_therapeutics_gene_therapy,application,application_of,0.82,true,application,atlas taxonomy
atlas_medical_health_therapeutics_rna_therapeutics,atlas_medical_health_therapeutics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_medical_health_therapeutics_rna_therapeutics_theoretical_foundations,atlas_medical_health_therapeutics_rna_therapeutics,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_medical_health_therapeutics_rna_therapeutics_methods_and_instruments,atlas_medical_health_therapeutics_rna_therapeutics,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_medical_health_therapeutics_rna_therapeutics_open_questions,atlas_medical_health_therapeutics_rna_therapeutics,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_medical_health_therapeutics_rna_therapeutics_applications_and_implications,atlas_medical_health_therapeutics_rna_therapeutics,application,application_of,0.82,true,application,atlas taxonomy
atlas_medical_health_therapeutics_personalized_medicine,atlas_medical_health_therapeutics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_medical_health_therapeutics_personalized_medicine_theoretical_foundations,atlas_medical_health_therapeutics_personalized_medicine,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_medical_health_therapeutics_personalized_medicine_methods_and_instruments,atlas_medical_health_therapeutics_personalized_medicine,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_medical_health_therapeutics_personalized_medicine_open_questions,atlas_medical_health_therapeutics_personalized_medicine,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_medical_health_therapeutics_personalized_medicine_applications_and_implications,atlas_medical_health_therapeutics_personalized_medicine,application,application_of,0.82,true,application,atlas taxonomy
atlas_medical_health_therapeutics_drug_discovery,atlas_medical_health_therapeutics_biologics,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_medical_health_therapeutics_biologics,atlas_medical_health_therapeutics_gene_therapy,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_medical_health_therapeutics_gene_therapy,atlas_medical_health_therapeutics_rna_therapeutics,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_medical_health_therapeutics_rna_therapeutics,atlas_medical_health_therapeutics_personalized_medicine,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_medical_health_internal_medicine,atlas_medical_health_oncology,interaction,related_to,0.66,false,interaction,atlas taxonomy
atlas_medical_health_oncology,atlas_medical_health_regenerative_medicine,interaction,related_to,0.66,false,interaction,atlas taxonomy
atlas_medical_health_regenerative_medicine,atlas_medical_health_diagnostics,interaction,related_to,0.66,false,interaction,atlas taxonomy
atlas_medical_health_diagnostics,atlas_medical_health_therapeutics,interaction,related_to,0.66,false,interaction,atlas taxonomy
atlas_landmark_amyloid_cascade_hypothesis,atlas_medical_health_domain,structure,part_of,0.93,true,structure,named landmark
atlas_landmark_germ_theory_of_disease,atlas_medical_health_domain,structure,part_of,0.93,true,structure,named landmark
atlas_medical_health_oncology_precision_oncology,atlas_medical_health_domain,association,investigates,0.7,true,association,frontier watch
atlas_frontier_car_t_therapy_for_solid_tumors,atlas_medical_health_domain,association,investigates,0.7,true,association,frontier watch
atlas_frontier_rna_therapeutic_platforms,atlas_medical_health_domain,association,investigates,0.7,true,association,frontier watch
atlas_frontier_xenotransplantation,atlas_medical_health_domain,association,investigates,0.7,true,association,frontier watch
atlas_frontier_aging_biomarkers_and_interventions,atlas_medical_health_domain,association,investigates,0.7,true,association,frontier watch
