source,target,relation,relation_detail,weight,directed,relation_family,provenance,source_module,target_module
molecular_dynamics,protein_folding,explanation,models,0.88,true,explanation,curated core,chemical_sciences,biochemistry_molecular
reaction_kinetics,enzyme,explanation,models,0.58,true,explanation,curated core,chemical_sciences,biochemistry_molecular
organic_chemistry,biochemistry,foundation,supports,0.63,true,foundation,curated core,chemical_sciences,biochemistry_molecular
synthetic_biology,gene_regulation,application,engineers,0.78,true,application,curated core,systems_complexity,genetics_genomics
bioinformatics,genomics,foundation,enables,0.83,true,foundation,curated core,systems_complexity,genetics_genomics
bioinformatics,machine_learning,association,uses,0.88,true,association,curated core,systems_complexity,ai_machine_learning
systems_biology,metabolism,explanation,models,0.58,true,explanation,curated core,systems_complexity,biochemistry_molecular
neural_coding,information_theory,association,uses,0.88,true,association,curated core,neuroscience,systems_complexity
brain_networks,network_science,association,uses,0.58,true,association,curated core,neuroscience,systems_complexity
predictive_coding,bayesian_inference,association,uses,0.63,true,association,curated core,neuroscience,probability_statistics
memory,neural_plasticity,association,depends_on,0.68,true,association,curated core,cognitive_behavioral,neuroscience
attention,predictive_coding,interaction,interacts_with,0.73,true,interaction,curated core,cognitive_behavioral,neuroscience
vision,computer_vision,association,inspires,0.78,true,association,curated core,cognitive_behavioral,ai_machine_learning
motor_control,control_theory,explanation,modeled_by,0.83,true,explanation,curated core,cognitive_behavioral,engineering_technology
deep_learning,neuroscience,association,inspired_by,0.73,true,association,curated core,ai_machine_learning,neuroscience
consciousness,brain_networks,association,investigated_via,0.78,true,association,curated core,cognitive_behavioral,neuroscience
climate_system,fluid_dynamics,association,uses,0.83,true,association,curated core,climate_atmosphere,fundamental_physics
climate_system,thermodynamics,association,uses,0.88,true,association,curated core,climate_atmosphere,fundamental_physics
ocean_circulation,climate_system,process,regulates,0.58,true,process,curated core,ocean_marine,climate_atmosphere
plate_tectonics,dynamical_systems,explanation,modeled_by,0.63,true,explanation,curated core,earth_geosciences,mathematical_sciences
remote_sensing,climate_system,information flow,observes,0.68,true,information flow,curated core,earth_geosciences,climate_atmosphere
carbon_cycle,photosynthesis,interaction,couples,0.73,true,interaction,curated core,climate_atmosphere,biochemistry_molecular
ecology,climate_system,interaction,interacts_with,0.78,true,interaction,curated core,environment_ecology,climate_atmosphere
statistics,scientific_method,foundation,supports,0.68,true,foundation,curated core,probability_statistics,science_studies
causal_inference,epidemiology,foundation,supports,0.78,true,foundation,curated core,probability_statistics,public_population_health
computational_modeling,differential_equations,explanation,implements,0.83,true,explanation,curated core,systems_complexity,mathematical_sciences
medical_imaging,fmri,structure,includes,0.93,true,structure,curated core,medical_health,neuroscience
genomics,systems_medicine,foundation,supports,0.58,true,foundation,curated core,genetics_genomics,medical_health
epidemiology,systems_medicine,association,informs,0.63,true,association,curated core,public_population_health,medical_health
systems_medicine,systems_biology,association,uses,0.68,true,association,curated core,medical_health,systems_complexity
machine_learning,medical_imaging,application,analyzes,0.73,true,application,curated core,ai_machine_learning,medical_health
machine_learning,genomics,application,analyzes,0.78,true,application,curated core,ai_machine_learning,genetics_genomics
tda,brain_networks,application,analyzes,0.83,true,application,curated core,mathematical_sciences,neuroscience
tda,protein_folding,application,analyzes,0.88,true,application,curated core,mathematical_sciences,biochemistry_molecular
graph_neural_networks,molecular_biology,explanation,models,0.93,true,explanation,curated core,ai_machine_learning,biochemistry_molecular
quantum_computing,cryptography,association,challenges,0.58,true,association,curated core,quantum_technology,computer_science
information_theory,genetics,explanation,interprets,0.63,true,explanation,curated core,systems_complexity,genetics_genomics
dynamical_systems,gene_regulation,explanation,models,0.68,true,explanation,curated core,mathematical_sciences,genetics_genomics
optimization,protein_folding,explanation,models,0.73,true,explanation,curated core,mathematical_sciences,biochemistry_molecular
fluid_dynamics,ocean_circulation,explanation,models,0.78,true,explanation,curated core,fundamental_physics,ocean_marine
ecology,carbon_cycle,interaction,interacts_with,0.62,false,interaction,curated core,environment_ecology,climate_atmosphere
biology,chemistry,interaction,bridges,0.78,false,interaction,curated core,organismal_biology,chemical_sciences
mathematics,computer_science,interaction,bridges,0.66,false,interaction,curated core,mathematical_sciences,computer_science
physics,chemistry,interaction,bridges,0.7,false,interaction,curated core,fundamental_physics,chemical_sciences
systems_science,engineering,interaction,bridges,0.78,false,interaction,curated core,systems_complexity,engineering_technology
memory,atlas_neuroscience_cognitive_neuroscience,structure,part_of,0.94,true,structure,atlas taxonomy,cognitive_behavioral,neuroscience
atlas_memory_theoretical_foundations,memory,association,formalizes,0.82,true,association,atlas taxonomy,neuroscience,cognitive_behavioral
atlas_memory_methods_and_instruments,memory,association,method_for,0.82,true,association,atlas taxonomy,neuroscience,cognitive_behavioral
atlas_memory_open_questions,memory,association,investigates,0.72,true,association,atlas taxonomy,neuroscience,cognitive_behavioral
atlas_memory_applications_and_implications,memory,application,application_of,0.82,true,application,atlas taxonomy,neuroscience,cognitive_behavioral
attention,atlas_neuroscience_cognitive_neuroscience,structure,part_of,0.94,true,structure,atlas taxonomy,cognitive_behavioral,neuroscience
atlas_attention_theoretical_foundations,attention,association,formalizes,0.82,true,association,atlas taxonomy,neuroscience,cognitive_behavioral
atlas_attention_methods_and_instruments,attention,association,method_for,0.82,true,association,atlas taxonomy,neuroscience,cognitive_behavioral
atlas_attention_open_questions,attention,association,investigates,0.72,true,association,atlas taxonomy,neuroscience,cognitive_behavioral
atlas_attention_applications_and_implications,attention,application,application_of,0.82,true,application,atlas taxonomy,neuroscience,cognitive_behavioral
consciousness,atlas_neuroscience_cognitive_neuroscience,structure,part_of,0.94,true,structure,atlas taxonomy,cognitive_behavioral,neuroscience
atlas_consciousness_theoretical_foundations,consciousness,association,formalizes,0.82,true,association,atlas taxonomy,neuroscience,cognitive_behavioral
atlas_consciousness_methods_and_instruments,consciousness,association,method_for,0.82,true,association,atlas taxonomy,neuroscience,cognitive_behavioral
atlas_consciousness_open_questions,consciousness,association,investigates,0.72,true,association,atlas taxonomy,neuroscience,cognitive_behavioral
atlas_consciousness_applications_and_implications,consciousness,application,application_of,0.82,true,application,atlas taxonomy,neuroscience,cognitive_behavioral
attention,atlas_neuroscience_cognitive_neuroscience_language_in_the_brain,interaction,related_to,0.62,false,interaction,atlas taxonomy,cognitive_behavioral,neuroscience
atlas_neuroscience_cognitive_neuroscience_decision_making,consciousness,interaction,related_to,0.62,false,interaction,atlas taxonomy,neuroscience,cognitive_behavioral
atlas_fundamental_physics_quantum_physics_quantum_foundations,atlas_quantum_technology_domain,structure,part_of,0.96,true,structure,atlas taxonomy,fundamental_physics,quantum_technology
atlas_quantum_technology_quantum_foundations_bell_nonlocality,atlas_fundamental_physics_quantum_physics_quantum_foundations,structure,part_of,0.94,true,structure,atlas taxonomy,quantum_technology,fundamental_physics
atlas_quantum_technology_quantum_foundations_contextuality,atlas_fundamental_physics_quantum_physics_quantum_foundations,structure,part_of,0.94,true,structure,atlas taxonomy,quantum_technology,fundamental_physics
atlas_quantum_technology_quantum_foundations_decoherence,atlas_fundamental_physics_quantum_physics_quantum_foundations,structure,part_of,0.94,true,structure,atlas taxonomy,quantum_technology,fundamental_physics
atlas_quantum_technology_quantum_foundations_quantum_thermodynamics,atlas_fundamental_physics_quantum_physics_quantum_foundations,structure,part_of,0.94,true,structure,atlas taxonomy,quantum_technology,fundamental_physics
atlas_quantum_technology_quantum_foundations_macroscopic_quantum_states,atlas_fundamental_physics_quantum_physics_quantum_foundations,structure,part_of,0.94,true,structure,atlas taxonomy,quantum_technology,fundamental_physics
atlas_quantum_technology_quantum_materials,atlas_fundamental_physics_quantum_physics_quantum_foundations,interaction,related_to,0.66,false,interaction,atlas taxonomy,quantum_technology,fundamental_physics
atlas_organismal_biology_comparative_biology_adaptation,complex_systems,structure,part_of,0.94,true,structure,atlas taxonomy,organismal_biology,systems_complexity
atlas_systems_complexity_complex_systems_criticality,atlas_organismal_biology_comparative_biology_adaptation,interaction,related_to,0.62,false,interaction,atlas taxonomy,systems_complexity,organismal_biology
atlas_organismal_biology_comparative_biology_adaptation,atlas_systems_complexity_complex_systems_collective_behavior,interaction,related_to,0.62,false,interaction,atlas taxonomy,organismal_biology,systems_complexity
homeostasis,atlas_systems_complexity_cybernetics_and_control,structure,part_of,0.94,true,structure,atlas taxonomy,organismal_biology,systems_complexity
atlas_systems_complexity_cybernetics_and_control_feedback,homeostasis,interaction,related_to,0.62,false,interaction,atlas taxonomy,systems_complexity,organismal_biology
homeostasis,atlas_systems_complexity_cybernetics_and_control_observability,interaction,related_to,0.62,false,interaction,atlas taxonomy,organismal_biology,systems_complexity
atlas_mathematical_sciences_domain,atlas_probability_statistics_domain,interaction,bridges,0.58,false,interaction,atlas taxonomy,mathematical_sciences,probability_statistics
atlas_probability_statistics_domain,atlas_fundamental_physics_domain,interaction,bridges,0.58,false,interaction,atlas taxonomy,probability_statistics,fundamental_physics
atlas_fundamental_physics_domain,atlas_astronomy_cosmology_domain,interaction,bridges,0.58,false,interaction,atlas taxonomy,fundamental_physics,astronomy_cosmology
atlas_astronomy_cosmology_domain,atlas_chemical_sciences_domain,interaction,bridges,0.58,false,interaction,atlas taxonomy,astronomy_cosmology,chemical_sciences
atlas_chemical_sciences_domain,atlas_materials_science_domain,interaction,bridges,0.58,false,interaction,atlas taxonomy,chemical_sciences,materials_science
atlas_materials_science_domain,atlas_earth_geosciences_domain,interaction,bridges,0.58,false,interaction,atlas taxonomy,materials_science,earth_geosciences
atlas_earth_geosciences_domain,atlas_climate_atmosphere_domain,interaction,bridges,0.58,false,interaction,atlas taxonomy,earth_geosciences,climate_atmosphere
atlas_climate_atmosphere_domain,atlas_ocean_marine_domain,interaction,bridges,0.58,false,interaction,atlas taxonomy,climate_atmosphere,ocean_marine
atlas_ocean_marine_domain,atlas_environment_ecology_domain,interaction,bridges,0.58,false,interaction,atlas taxonomy,ocean_marine,environment_ecology
atlas_environment_ecology_domain,atlas_organismal_biology_domain,interaction,bridges,0.58,false,interaction,atlas taxonomy,environment_ecology,organismal_biology
atlas_organismal_biology_domain,evolution,interaction,bridges,0.58,false,interaction,atlas taxonomy,organismal_biology,evolution_ecology
evolution,atlas_genetics_genomics_domain,interaction,bridges,0.58,false,interaction,atlas taxonomy,evolution_ecology,genetics_genomics
atlas_genetics_genomics_domain,atlas_biochemistry_molecular_domain,interaction,bridges,0.58,false,interaction,atlas taxonomy,genetics_genomics,biochemistry_molecular
atlas_biochemistry_molecular_domain,atlas_microbiology_virology_domain,interaction,bridges,0.58,false,interaction,atlas taxonomy,biochemistry_molecular,microbiology_virology
atlas_microbiology_virology_domain,atlas_neuroscience_domain,interaction,bridges,0.58,false,interaction,atlas taxonomy,microbiology_virology,neuroscience
atlas_neuroscience_domain,atlas_cognitive_behavioral_domain,interaction,bridges,0.58,false,interaction,atlas taxonomy,neuroscience,cognitive_behavioral
atlas_cognitive_behavioral_domain,atlas_medical_health_domain,interaction,bridges,0.58,false,interaction,atlas taxonomy,cognitive_behavioral,medical_health
atlas_medical_health_domain,atlas_public_population_health_domain,interaction,bridges,0.58,false,interaction,atlas taxonomy,medical_health,public_population_health
atlas_public_population_health_domain,computer_science,interaction,bridges,0.58,false,interaction,atlas taxonomy,public_population_health,computer_science
computer_science,atlas_ai_machine_learning_domain,interaction,bridges,0.58,false,interaction,atlas taxonomy,computer_science,ai_machine_learning
atlas_ai_machine_learning_domain,atlas_engineering_technology_domain,interaction,bridges,0.58,false,interaction,atlas taxonomy,ai_machine_learning,engineering_technology
atlas_engineering_technology_domain,atlas_quantum_technology_domain,interaction,bridges,0.58,false,interaction,atlas taxonomy,engineering_technology,quantum_technology
atlas_quantum_technology_domain,atlas_agricultural_food_veterinary_domain,interaction,bridges,0.58,false,interaction,atlas taxonomy,quantum_technology,agricultural_food_veterinary
atlas_agricultural_food_veterinary_domain,atlas_systems_complexity_domain,interaction,bridges,0.58,false,interaction,atlas taxonomy,agricultural_food_veterinary,systems_complexity
atlas_systems_complexity_domain,atlas_social_sciences_domain,interaction,bridges,0.58,false,interaction,atlas taxonomy,systems_complexity,social_sciences
atlas_social_sciences_domain,atlas_science_studies_domain,interaction,bridges,0.58,false,interaction,atlas taxonomy,social_sciences,science_studies
